aiannh_ce,aiannh_ns,aiannh_name,area_type,states
2835,02419056,Pit River Trust Land,other,CA
2850,00573503,Pleasant Point Reservation,other,ME
2865,02419057,Poarch Creek Reservation,other,AL~FL
2890,02419058,Pokagon Reservation,other,IN~MI
2900,02419061,Ponca (NE) Trust Land,other,IA~NE
2910,01507567,Port Gamble Reservation,other,WA
2925,01507571,Port Madison Reservation,other,WA
2980,01934332,Prairie Band of Potawatomi Nation Reservation,other,KS
2985,00654519,Prairie Island Indian Community,other,MN
2990,00937193,Pueblo of Pojoaque,other,NM
3000,01514929,Puyallup Reservation,other,WA
3010,00857503,Pyramid Lake Paiute Reservation,other,NV
3020,00265103,Quartz Valley Reservation,other,CA
3030,01511646,Quileute Reservation,other,WA
3040,01531838,Quinault Reservation,other,WA
3070,00273181,Ramona Village,other,CA
3085,01577204,Red Cliff Reservation,other,WI
3095,01682404,Redding Rancheria,other,CA
3100,01934331,Red Lake Reservation,other,MN
3115,00231455,Redwood Valley Rancheria,other,CA
3130,00853944,Reno-Sparks Indian Colony,other,NV
3145,01657342,Resighini Rancheria,other,CA
3165,00273286,Rincon Reservation,other,CA
3185,00265444,Roaring Creek Rancheria,other,CA
3195,00234577,Robinson Rancheria,other,CA
3205,00767936,Rocky Boy's Reservation,other,MT
3220,00231831,Rohnerville (Rancheria) Trust Land,other,CA
3235,01266248,Rosebud Indian Reservation,other,SD
3250,00267196,Round Valley Reservation,other,CA
3265,00232012,Rumsey Indian Rancheria,other,CA
3280,00463420,Sac and Fox/Meskwaki Settlement,other,IA
3285,00479832,Sac and Fox Nation Reservation,other,KS~NE
3305,01843172,St. Croix Reservation,other,WI
3320,00979449,St. Regis Mohawk Reservation,other,NY
3340,00037072,Salt River Reservation,other,AZ
3355,00024000,San Carlos Reservation,other,AZ
3370,01934343,Sandia Pueblo,other,NM
3400,00910614,San Felipe Pueblo,other,NM
3415,00918342,San Ildefonso Pueblo,other,NM
3445,00248904,San Manuel Reservation,other,CA
3460,00255933,San Pasqual Reservation,other,CA
3480,01934345,Santa Ana Pueblo,other,NM
3495,00937196,Santa Clara Pueblo,other,NM
3520,00247949,Santa Rosa Rancheria,other,CA
3525,01934330,Santa Rosa Reservation,other,CA
3540,00249132,Santa Ynez Reservation,other,CA
3550,00255932,Santa Ysabel Reservation,other,CA
3565,01884912,Santee Reservation,other,NE
3585,00937201,Santo Domingo Pueblo,other,NM
3625,02419131,Sauk-Suiattle Reservation,other,WA
3635,02419132,Sault Ste. Marie Reservation,other,MI
3665,02419138,Seminole (FL) Trust Land,other,FL
3680,00649741,Shakopee Mdewakanton Sioux Community,other,MN~SD
3735,00232986,Sherwood Valley Rancheria,other,CA
3750,00233021,Shingle Springs Rancheria,other,CA
3780,01508317,Shoalwater Bay Indian Reservation,other,WA
3795,01155124,Siletz Reservation,other,OR
3825,01525866,Skokomish Reservation,other,WA
3840,01445643,Skull Valley Reservation,other,UT
3855,00274833,Smith River Rancheria,other,CA
3860,02419473,Snoqualmie Reservation,other,WA
3870,00249635,Soboba Reservation,other,CA
3885,01577206,Sokaogon Chippewa Community,other,WI
3925,00169585,Southern Ute Reservation,other,CO
3930,00861680,South Fork Reservation,other,NV
3935,01934326,Spirit Lake Reservation,other,ND
3940,01511576,Spokane Reservation,other,WA
3955,01508671,Squaxin Island Reservation,other,WA
3970,01934335,Standing Rock Reservation,other,ND~SD
3980,02419480,Stewart Community,other,NV
3985,00235473,Stewarts Point Rancheria,other,CA
4000,02419481,Stillaguamish Reservation,other,WA
4015,01577203,Stockbridge Munsee Community,other,WI
4030,00267889,Sulphur Bank Rancheria,other,CA
4045,00858261,Summit Lake Reservation,other,NV
4060,00235836,Susanville Indian Rancheria,other,CA
4075,01528418,Swinomish Reservation,other,WA
4090,00273630,Sycuan Reservation,other,CA
4095,01665550,Table Bluff Reservation,other,CA
4110,02419484,Table Mountain Rancheria,other,CA
4130,02419488,Tampa Reservation,other,FL
4140,01934342,Taos Pueblo,other,NM
4170,00937203,Tesuque Pueblo,other,NM
4180,02419492,Timbi-Sha Shoshone Reservation,other,CA~NV
4200,00023763,Tohono O'odham Nation Reservation,other,AZ
4225,00979554,Tonawanda Reservation,other,NY
4235,00032748,Tonto Apache Reservation,other,AZ
4255,00255924,Torres-Martinez Reservation,other,CA
4275,00268407,Trinidad Rancheria,other,CA
4290,01511575,Tulalip Reservation,other,WA
4300,00275158,Tule River Reservation,other,CA
4315,02419503,Tunica-Biloxi Reservation,other,LA
4330,00236635,Tuolumne Rancheria,other,CA
4345,01934334,Turtle Mountain Reservation,other,MT~ND~SD
4360,00979564,Tuscarora Nation Reservation,other,NY
4375,00250737,Twenty-Nine Palms Reservation,other,CA
4390,01448012,Uintah and Ouray Reservation,other,UT
4405,01159100,Umatilla Reservation,other,OR~WA
4430,01654496,Upper Lake Rancheria,other,CA
4445,00653567,Upper Sioux Community,other,MN
4455,02419510,Upper Skagit Reservation,other,WA
4470,00169579,Ute Mountain Reservation,other,CO~NM~UT
4500,00251037,Viejas Reservation,other,CA
4515,00857504,Walker River Reservation,other,NV
4530,02419514,Wampanoag-Aquinnah Trust Land,other,MA
4545,01133438,Warm Springs Reservation,other,OR
4560,02419516,Washoe Ranches Trust Land,other,CA~NV
4580,00849846,Wells Colony,other,NV
4595,01934333,White Earth Reservation,other,MN
4610,01597068,Wind River Reservation,other,WY
4625,00834982,Winnebago Reservation,other,IA~NE
4635,00849652,Winnemucca Indian Colony,other,NV
4665,01985241,Woodfords Community,other,CA
4680,00252581,XL Ranch Rancheria,other,CA
4690,01502906,Yakama Nation Reservation,other,WA
4700,01891160,Yankton Reservation,other,SD
4708,00027214,Yavapai-Apache Nation Reservation,other,AZ
4710,00036443,Yavapai-Prescott Reservation,other,AZ
4725,00848133,Yerington Colony,other,NV
4740,00862119,Yomba Reservation,other,NV
4755,02419529,Ysleta del Sur Pueblo,other,TX
4760,02419530,Yurok Reservation,other,CA
4770,01934347,Zia Pueblo,other,NM
4785,01934346,Zuni Reservation,other,AZ~NM
4910,02418987,Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area,other,KS
4930,02419124,San Felipe Pueblo/Santa Ana Pueblo joint-use area,other,NM
4940,02419125,San Felipe Pueblo/Santo Domingo Pueblo joint-use area,other,NM
5003,02634609,Anahola (Agricultural) Hawaiian Home Land,hawaiian_home_land,HI
5004,02634610,Anahola (Residential) Hawaiian Home Land,hawaiian_home_land,HI
5008,02634611,East Kapolei Hawaiian Home Land,hawaiian_home_land,HI
5009,02634612,Haiku Hawaiian Home Land,hawaiian_home_land,HI
5011,00359057,Hanapepe Hawaiian Home Land,hawaiian_home_land,HI
5018,02634613,Homuula-Upper Piihonua Hawaiian Home Land,hawaiian_home_land,HI
5026,00359289,Honokaia Hawaiian Home Land,hawaiian_home_land,HI
5029,01853346,Honokowai Hawaiian Home Land,hawaiian_home_land,HI
5030,01853354,Honolulu Makai Hawaiian Home Land,hawaiian_home_land,HI
5031,01853338,Honomu Hawaiian Home Land,hawaiian_home_land,HI
5033,01853339,Hoolehua-Palaau Hawaiian Home Land,hawaiian_home_land,HI
5041,00359755,Kahikinui Hawaiian Home Land,hawaiian_home_land,HI
5043,02634614,Kakaina-Kumuhau Hawaiian Home Land,hawaiian_home_land,HI
5044,02634615,Kalaeloa Hawaiian Home Land,hawaiian_home_land,HI
5046,01853005,Kalamaula Hawaiian Home Land,hawaiian_home_land,HI
5051,00360095,Kalaupapa Hawaiian Home Land,hawaiian_home_land,HI
5053,02634616,Kalawahine Hawaiian Home Land,hawaiian_home_land,HI
5056,01853340,Kamaoa-Puueo Hawaiian Home Land,hawaiian_home_land,HI
5061,02634617,Kamiloloa-Makakupaia Hawaiian Home Land,hawaiian_home_land,HI
5066,01853341,Kamoku-Kapulena Hawaiian Home Land,hawaiian_home_land,HI
5067,02634618,Kanehili Hawaiian Home Land,hawaiian_home_land,HI
5069,00362767,Kaohe-Olaa Hawaiian Home Land,hawaiian_home_land,HI
5071,00360456,Kapaa Hawaiian Home Land,hawaiian_home_land,HI
5076,00360469,Kapaakea Hawaiian Home Land,hawaiian_home_land,HI
